SyncedTime,TimeMilli,Username,UpTime,RamFree,RamUsed,MemFreePercent,MemUsedPercent,SwapMemoryFree,SwapMemoryPageIn,SwapMemoryPageOut,SwapMemoryUsed,HDFreeSpace,HDUsedSpace,NetRXBytes,NetTxBytes,NetSpeed,NetRXErrors,NetTxErrors,NetRxPackets,NetTxPackets,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0,Sudam?rica)(300),\\ISC202\Procesador(0)\% de tiempo de procesador,\\ISC202\Procesador(1)\% de tiempo de procesador,\\ISC202\Procesador(2)\% de tiempo de procesador,\\ISC202\Procesador(3)\% de tiempo de procesador,\\ISC202\Procesador(4)\% de tiempo de procesador,\\ISC202\Procesador(5)\% de tiempo de procesador,\\ISC202\Procesador(6)\% de tiempo de procesador,\\ISC202\Procesador(7)\% de tiempo de procesador,RDTSC,Elapsed Time (sec),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,Package Power Limit_0(Watt)
2015-09-08 09:00:24,1441720824229,null,89701.0,13475.0,2816.0,83.9898897748576,16.010110225142398,28894.0,207.0,0.0,3688.0,265,197,4238509522,1197634778,1000000000,0,0,26070015,null,1.53846145,0.7692337,1.53846145,0,0.9615421,36,35,38,34,40,798.1922,798.1922,798.1922,798.1922,4.926902,0.106840938,0.000300960382,1.705061,99.774025,17.2042618,2.73727417,13.1731682,37,42.71339,1.5625,1.5625,1.5625,4.6875,12.5,1.5625,3.125,1.5625, 304279645887933,   13.181, 3700,   6.360, 149.587,  41.552,   1.214,  67.638,  18.788, 47,  0,  84.000,null
2015-09-08 09:00:25,1441720825617,null,89703.0,13475.0,2816.0,83.9898897748576,16.010110225142398,28893.0,207.0,0.0,3689.0,265,197,4238509642,1197634778,1000000000,0,0,26070017,null,2.30768919,5.384612,8.4615345,2.30768919,4.615384,37,36,39,32,39,798.193054,798.193054,798.193054,798.193054,9.473209,3.557111,0.000361152459,1.90351427,99.77413,17.3050766,2.753315,13.1571274,37,42.71339,4.6875,1.5625,1.5625,6.25,4.6875,1.5625,1.5625,1.5625, 304283085877755,   14.195,  800,   7.989, 157.689,  43.802,   2.444,  70.116,  19.477, 39,  0,  84.000,null
2015-09-08 09:00:26,1441720826928,null,89704.0,13472.0,2819.0,83.98895470850266,16.011045291497346,28893.0,211.0,0.0,3689.0,265,197,4238509702,1197634824,1000000000,0,0,26070018,null,3.8461566,6.153846,10.0000019,1.53846145,5.384618,37,36,38,33,40,798.1928,798.1928,798.1928,798.1928,9.084067,3.222142,0.000180576229,1.86980665,99.7741,17.3068542,2.75359726,13.1568451,37,42.71339,7.8125,40.625,10.9375,12.5,20.3125,40.625,3.125,7.8125, 304286525502656,   15.209,  800,   9.071, 166.887,  46.357,   3.218,  73.380,  20.383, 39,  0,  84.000,null
2015-09-08 09:00:28,1441720828285,null,89705.0,13475.0,2816.0,83.98782783366464,16.012172166335358,28893.0,208.0,0.0,3689.0,265,197,4238509702,1197634824,1000000000,0,0,26070018,null,0,0.7692337,0,0.7692337,0.384616852,37,36,38,32,39,798.1909,798.1909,1895.70349,1895.70349,5.02032,0.1754599,0.000300960382,1.71348786,99.7738647,17.2156525,2.73908615,13.1713562,37,42.71339,1.5625,0,0,7.8125,6.25,0,3.125,0, 304293404466359,   17.237, 3700,   5.866, 182.630,  50.730,   0.782,  77.843,  21.623, 44,  0,  84.000,null
2015-09-08 09:00:29,1441720829627,null,89707.0,13475.0,2816.0,83.98828337881193,16.011716621188075,28894.0,208.0,0.0,3688.0,265,197,4238510058,1197634824,1000000000,0,0,26070023,null,4.615384,3.8461566,7.69230747,4.615384,5.19230366,38,36,39,32,40,798.1942,798.1942,798.1942,798.1942,9.139866,3.2367084,0.000361152459,1.87895584,99.77428,17.3069763,2.75361633,13.156826,37,42.71339,7.8125,9.375,9.375,1.5625,9.375,9.375,6.25,9.375, 304296844419211,   18.251,  800,   8.242, 190.988,  53.052,   2.612,  80.492,  22.359, 40,  0,  84.000,null
2015-09-08 09:00:30,1441720830984,null,89708.0,13472.0,2819.0,83.98828337881193,16.011716621188075,28893.0,211.0,0.0,3689.0,265,197,4238510394,1197634824,1000000000,0,0,26070027,null,5.384612,6.92307949,1.53846145,4.615384,4.615384,37,36,39,34,39,798.192139,798.192139,798.192139,798.192139,9.854466,3.833513,0.0005417287,1.89731443,99.77402,17.3076477,2.75372314,13.1567192,37,42.71339,10.9375,1.5625,0,14.0625,3.125,1.5625,9.375,1.5625, 304300284074652,   19.265,  800,   9.861, 200.986,  55.830,   3.834,  84.380,  23.439, 39,  0,  84.000,null
2015-09-08 09:00:32,1441720832372,null,89709.0,13472.0,2819.0,83.9883313309327,16.01166866906731,28892.0,211.0,0.0,3689.0,265,197,4238512779,1197636369,1000000000,0,0,26070043,null,3.076923,4.615384,0.7692337,0,2.11538672,37,36,39,33,39,798.1924,798.1924,798.1924,798.1924,7.05944729,1.62368131,0.000361152459,1.79083467,99.77405,17.2862854,2.75032425,13.1601181,37,42.71339,9.2307692307692317,1.538461538461533,1.538461538461533,12.307692307692308,6.1538461538461542,1.538461538461533,3.0769230769230771,1.538461538461533, 304307163060665,   21.293, 3700,   7.568, 218.344,  60.651,   1.944,  89.894,  24.971, 42,  0,  84.000,null
2015-09-08 09:00:33,1441720833714,null,89711.0,13475.0,2816.0,83.98950615789147,16.01049384210853,28895.0,208.0,0.0,3687.0,265,197,4238512871,1197636469,1000000000,0,0,26070044,null,3.076923,6.92307949,9.230768,3.8461566,5.769229,38,35,40,33,40,798.1929,798.1929,798.1929,798.1929,9.326522,3.34360957,0.000300960382,1.88726234,99.77411,17.3064957,2.75354,13.1569023,37,42.71339,3.125,28.125,3.125,9.375,14.0625,28.125,4.6875,0, 304310603267526,   22.307,  800,   8.784, 227.252,  63.126,   3.000,  92.937,  25.816, 39,  0,  84.000,null
2015-09-08 09:00:35,1441720835056,null,89712.0,13472.0,2819.0,83.98936230152917,16.01063769847083,28894.0,211.0,0.0,3688.0,265,197,4238513147,1197636469,1000000000,0,0,26070047,null,6.92307949,6.153846,3.076923,4.615384,5.19230938,44,39,39,35,44,3691.645,3392.32251,3392.32251,3392.32251,9.798909,3.76688027,0.000300960382,1.89761543,99.77419,17.3065872,2.7535553,13.1568871,37,42.71339,15.625,0,0,12.5,6.25, ,9.375, , 304317482295910,   24.335,  800,   9.822, 246.941,  68.595,   3.775, 100.362,  27.878, 39,  0,  84.000,null
2015-09-08 09:00:36,1441720836382,null,89713.0,13475.0,2816.0,83.98938627758955,16.010613722410447,28894.0,208.0,0.0,3688.0,265,197,4238513331,1197636469,1000000000,0,0,26070049,null,0.7692337,0.7692337,0,0,0.384616852,38,35,38,32,39,798.1922,798.1922,798.1922,1895.70654,4.93882,0.1146659,0.000361152459,1.7096957,99.774025,17.20903,2.73803329,13.1724091,37,42.71339,0,0,0,3.125,1.5625,7.8125,0,3.125, 304320921579629,   25.349, 3700,   6.505, 253.536,  70.427,   1.322, 101.702,  28.251, 45,  0,  84.000,null
